rowid,FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
37,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Henry of Pelham Inc,Henry of Pelham Inc,St Catharines,St Catharines,Ontario,Ontario,,,0,1548047
38,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Hillside Cellars Winery Ltd,Hillside Cellars Winery Ltd,Penticton,Penticton,British Columbia,Colombie-Britannique,,,0,116136
39,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Howard Equities Inc,Howard Equities Inc,St Catharines,St Catharines,Ontario,Ontario,,,0,280920
40,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Indigenous World Limited Partnership,Indigenous World Limited Partnership,Kelowna,Kelowna,British Columbia,Colombie-Britannique,,,0,112594
41,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Intrigue Wines Ltd,Intrigue Wines Ltd,Lake Country,Lake Country,British Columbia,Colombie-Britannique,,,0,177181
42,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Magnetic Hill Winery,Magnetic Hill Winery,Moncton,Moncton,New Brunswick,Nouveau-Brunswick,,,0,105542
43,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Joie Ventures Inc,Joie Ventures Inc,Penticton,Penticton,British Columbia,Colombie-Britannique,,,0,176335
44,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Jost Vineyards Limited,Jost Vineyards Limited,Truro,Truro,Nova Scotia,Nouvelle-Écosse,,,0,821941
45,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Kismet Estate Winery Ltd,Kismet Estate Winery Ltd,Oliver,Oliver,British Columbia,Colombie-Britannique,,,0,174210
46,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Konzelmann Vineyards Inc,Konzelmann Vineyards Inc,Niagara-on-the-Lake,Niagara-on-the-Lake,Ontario,Ontario,,,0,310039
