title,award_summary,application_id,competition_year,fiscal_year,project_lead_name,institution,department,province,award_amount,installment,program,selection_committee,research_subject,area_of_application,co-researchers,partners,external_id,source_url
Brain monamines and sexual behaviour,No summary - Aucun sommaire,138878-1993,1993,1996-1997,"Pfaus, James",Concordia University,Psychology,Québec,30000.0,4-4,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Not available,Life sciences (including biotechnology),No Co-Researcher,No Partners,10025,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10025
No title - Aucun titre,No summary - Aucun sommaire,92310-1990,1990,1991-1992,"Smith, Karen",University of Connecticut,Linguistics,Connecticut,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Psychology,Not available,No Co-Researcher,No Partners,100250,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100250
Nuclear-cytoplasmic interactions in mammalian oocytes and embryos,No summary - Aucun sommaire,106964-1991,1991,1991-1992,"Smith, Lawrence",Université de Montréal,Centre rech reproduction animale,Québec,20000.0,1-1,Discovery Grants Program - Individual,Cell Biology,Absorption and transport,Agriculture and primary food production,No Co-Researcher,No Partners,100251,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100251
Characterization and improvement of the procedure for cloning bovine embryos,No summary - Aucun sommaire,117658-1991,1991,1991-1992,"Smith, Lawrence",Université de Montréal,Centre rech reproduction animale,Québec,87100.0,1-3,Strategic Projects - Group,"Food, Agri. & Aquaculture (H)",Animal reproduction,"Animal management (animal diseases, breeding)",No Co-Researcher,No Partners,100252,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100252
Characterization and improvement of the procedure for cloning bovine embryos: Thermal cycler for DNA studies of embryos,No summary - Aucun sommaire,117659-1991,1991,1991-1992,"Smith, Lawrence",Université de Montréal,Centre rech reproduction animale,Québec,10930.0,1-1,Strategic Grants - Equipment (H),"Food, Agri. & Aquaculture (H)",Animal reproduction,"Animal management (animal diseases, breeding)",No Co-Researcher,No Partners,100253,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100253
Activity of mitochondria and other cytoplasmic components in bovine cloned embryos,No summary - Aucun sommaire,118653-1991,1991,1991-1992,"Smith, Lawrence",Université de Montréal,Centre rech reproduction animale,Québec,15000.0,1-2,Collaborative Research and Development Grants - Government (H),University/Industry,Animal reproduction,"Animal management (animal diseases, breeding)",No Co-Researcher,Agriculture and Agri-Food CanadaCanadian Association of Animal Breeders,100254,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100254
No title - Aucun titre,No summary - Aucun sommaire,97344-1990,1990,1991-1992,"Smith, Lloyd",Stanford University,Mechanical Engineering,California,10833.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Robotics,Not available,No Co-Researcher,No Partners,100255,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100255
"Protein Engineering: 3D Structure, Function and Design",No summary - Aucun sommaire,41425-1989,1989,1991-1992,"Smith, Michael",The University of British Columbia,Biochemistry,British Columbia,1820000.0,3-5,Networks of Centres of Excellence,Networks-Centres of Excellence,Not available,Life sciences (including biotechnology),"Brayer, GaryCarey, PaulClarkLewis, IanHodges, RobertJones, BryanJurasek, LuboKay, CyrilKilburn, DouglasKlein, MichelKluger, RonaldKrantz, AllenKrepinsky, GeorgeLim, CarmayMauk, GrantMcIntosh, LawrenceOConnorMcCourt, MaureenOstlund, NSPai, EmilReid, LRose, DavidSchachter, HarryStorer, AndrewSykes, BrianWarren, RichardWithers, StephenZiltener, Hermann",No Partners,100256,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100256
No title - Aucun titre,No summary - Aucun sommaire,112655-1991,1991,1991-1992,"Smith, Michael",University of Toronto,Electrical Engineering,Ontario,15000.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Computer hardware,Not available,No Co-Researcher,No Partners,100257,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100257
The effect of task demands on the processing of pictures and words,No summary - Aucun sommaire,92816-1990,1990,1991-1992,"Smith, Marilyn",University of Toronto,Life Sciences - Scarborough,Ontario,18820.0,2-3,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Psychology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100258,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100258
Evolution and development in sea stars,No summary - Aucun sommaire,499-1989,1989,1991-1992,"Smith, Michael",Simon Fraser University,Biological Sciences,British Columbia,41422.0,3-3,Discovery Grants Program - Individual,Cell Biology & Genetics (H),Other studies in natural sciences and engineering,Life sciences (including biotechnology),No Co-Researcher,No Partners,100259,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100259
No title - Aucun titre,No summary - Aucun sommaire,170729-1995,1995,1996-1997,"Pfeifer, Tom",The University of British Columbia,Zoology,British Columbia,9704.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Life Sciences (H),Genetics,Not available,No Co-Researcher,No Partners,10026,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10026
No title - Aucun titre,No summary - Aucun sommaire,95752-1990,1990,1991-1992,"Smith, Malcolm",The University of British Columbia,Mechanical Engineering,British Columbia,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Solid mechanics,Not available,No Co-Researcher,No Partners,100260,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100260
No title - Aucun titre,No summary - Aucun sommaire,108698-1991,1991,1991-1992,"Smith, Malcolm",The University of British Columbia,Mechanical Engineering,British Columbia,11112.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Solid mechanics,Not available,No Co-Researcher,No Partners,100261,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100261
No title - Aucun titre,No summary - Aucun sommaire,118872-1991,1991,1991-1992,"Smith, Malcolm",University of Victoria,Computer Science,British Columbia,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Eng/Comp Science (H),Software and development,Not available,No Co-Researcher,No Partners,100262,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100262
Algorithms for signal and image processing computer for assiting the handicapped,No summary - Aucun sommaire,1754-1991,1991,1991-1992,"Smith, Michael",University of Calgary,Electrical & Computing Engineering,Alberta,19000.0,1-3,Discovery Grants Program - Individual,Electrical Engineering (H),Image processing,Medical equipment and apparatus,No Co-Researcher,No Partners,100263,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100263
Specialized image processing workstation,No summary - Aucun sommaire,122834-1992,1992,1991-1992,"Smith, Michael",University of Calgary,Electrical & Computing Engineering,Alberta,113951.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Electromag. & Electr. Systems (H),Other computing methods,Information systems and technology,No Co-Researcher,No Partners,100264,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100264
No title - Aucun titre,No summary - Aucun sommaire,120045-1991,1991,1991-1992,"Smith, Marline",The University of British Columbia,Chemistry,British Columbia,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Organic chemistry,Not available,No Co-Researcher,No Partners,100265,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100265
No title - Aucun titre,No summary - Aucun sommaire,97831-1990,1990,1991-1992,"Smith, Patricia",University of Victoria,Biology,British Columbia,5019.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Oceanography,Not available,No Co-Researcher,No Partners,100266,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100266
The lower jurassic of Western North America,No summary - Aucun sommaire,8493-1989,1989,1991-1992,"Smith, Paul",The University of British Columbia,Geological Sciences,British Columbia,47800.0,3-3,Discovery Grants Program - Individual,Earth Sciences (H),Earth science (see also marine geology 4604),Not available,No Co-Researcher,No Partners,100267,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100267
"Jurassic correlations in the Iskut River Area, Northwestern British Columbia",No summary - Aucun sommaire,101552-1990,1990,1991-1992,"Smith, Paul",The University of British Columbia,Geological Sciences,British Columbia,3000.0,2-3,Collaborative Research and Development Grants - Government (H),University/Industry,Not available,Not available,No Co-Researcher,Natural Resources Canada,100268,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100268
Microwave circuit research,No summary - Aucun sommaire,36610-1991,1991,1991-1992,"Smith, Peter",McMaster University,Electrical & Computer Engineering,Ontario,17000.0,1-3,Discovery Grants Program - Individual,Electrical Engineering (H),Circuit theory,Transport equipment,No Co-Researcher,No Partners,100269,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100269
No title - Aucun titre,No summary - Aucun sommaire,161581-1994,1994,1996-1997,"Pflieger, JeanFrancois",Université de Montréal,Physiologie,Québec,11645.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Behavioural neuroscience,Not available,No Co-Researcher,No Partners,10027,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10027
