title,award_summary,application_id,competition_year,fiscal_year,project_lead_name,institution,department,province,award_amount,installment,program,selection_committee,research_subject,area_of_application,co-researchers,partners,external_id,source_url
Purifier cabinet,No summary - Aucun sommaire,123459-1992,1992,1991-1992,"Strongman, Doug",Saint Mary's University,Biology,Nova Scotia,8747.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Plant Biology & Food Science,Microbiology,"Crop management (pest,disease control and breeding)",No Co-Researcher,No Partners,100739,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100739
Application of microwave technology to the processing of iron-bearing materials,No summary - Aucun sommaire,5744-1996,1996,1996-1997,"Pickles, Christopher",Queen's University,Materials and Metallurgical Eng.,Ontario,17640.0,1-1,Discovery Grants Program - Individual,Chem. & Metallurgical Eng.,Materials processing,Primary metal products (ferrous and non-ferrous),No Co-Researcher,No Partners,10074,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10074
No title - Aucun titre,No summary - Aucun sommaire,119939-1991,1991,1991-1992,"StRose, Auron",Simon Fraser University,Kinesiology (School),British Columbia,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Kinesiology,Not available,No Co-Researcher,No Partners,100740,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100740
No title - Aucun titre,No summary - Aucun sommaire,119404-1991,1991,1991-1992,"Stroud, Craig",York University,Chemistry,Ontario,2800.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Analytical chemistry,Not available,No Co-Researcher,No Partners,100741,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100741
Applications of bayesian predictive inference to sample surveys,No summary - Aucun sommaire,7220-1991,1991,1991-1992,"Stroud, Thomas",Queen's University,Mathematics & Statistics,Ontario,7120.0,1-3,Discovery Grants Program - Individual,Statistical Sciences,Survey methodology,Mathematical sciences,No Co-Researcher,No Partners,100742,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100742
Synthesis of biologically active natural products and analogues. Isolation and identification of insecticidal metabolites produced by fungi form the spruce budworm habitat,No summary - Aucun sommaire,44271-1991,1991,1991-1992,"Strunz, George",University of New Brunswick,Chemistry,New Brunswick,13920.0,1-2,Discovery Grants Program - Individual,Inorganic & Organic Chemistry,Natural products,"Forestry (silviculture, forest management)",No Co-Researcher,No Partners,100743,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100743
Doctoral Prize,No summary - Aucun sommaire,9999903-1991,1991,1991-1992,"Strynadka, N",Other University,Biochemistry,Other in Canada,5000.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Not available,Not available,No Co-Researcher,No Partners,100744,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100744
"Volcanic petrogenesis of nisyros volcano, Aegean island ARC",No summary - Aucun sommaire,634-1989,1989,1991-1992,"StSeymour, Karen",Concordia University,Geology,Québec,5800.0,3-3,Discovery Grants Program - Individual,Earth Sciences (H),Earth science (see also marine geology 4604),"Land, solid earth, seabeds and ocean floors",No Co-Researcher,No Partners,100745,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100745
No title - Aucun titre,No summary - Aucun sommaire,119943-1991,1991,1991-1992,"Stuart, Alison",Simon Fraser University,Biological Sciences,British Columbia,3610.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Behavioural neuroscience,Not available,No Co-Researcher,No Partners,100746,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100746
No title - Aucun titre,No summary - Aucun sommaire,50372-1989,1989,1991-1992,"Stuart, Gregory",Carleton University,Physics,Ontario,11112.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Electrical and electronic engineering,Not available,No Co-Researcher,No Partners,100747,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100747
No title - Aucun titre,No summary - Aucun sommaire,50036-1989,1989,1991-1992,"StuartSmith, Alexandra",University of Alberta,Zoology,Alberta,5019.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Terrestrial ecology,Not available,No Co-Researcher,No Partners,100748,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100748
No title - Aucun titre,No summary - Aucun sommaire,108185-1991,1991,1991-1992,"StuartSmith, Alexandra",University of Alberta,Zoology,Alberta,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Terrestrial ecology,Not available,No Co-Researcher,No Partners,100749,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100749
Electrochemistry of electronically conducting polymers and metallopolymers,No summary - Aucun sommaire,1957-1994,1994,1996-1997,"Pickup, Peter",Memorial University of Newfoundland,Chemistry,Newfoundland and Labrador,32000.0,3-4,Discovery Grants Program - Individual,Anal. & Phys. Chemistry,Electrochemistry,Physical sciences,No Co-Researcher,No Partners,10075,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10075
No title - Aucun titre,No summary - Aucun sommaire,119039-1991,1991,1991-1992,"StuartSmith, Geoffrey",McGill University,Plant Science,Québec,3080.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Plant and tree biology,Not available,No Co-Researcher,No Partners,100750,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100750
General Research Grant,No summary - Aucun sommaire,39851-1991,1991,1991-1992,"Patterson, Bonnie",Trent University,Office of the President,Ontario,32000.0,1-1,General Research Grants (H),Research Grants,Not available,Not available,No Co-Researcher,No Partners,100751,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100751
General Research Grant - Small University Supplement,No summary - Aucun sommaire,39864-1991,1991,1991-1992,"Patterson, Bonnie",Trent University,Office of the President,Ontario,17000.0,1-1,General Research Grants (H),Research Grants,Not available,Not available,No Co-Researcher,No Partners,100752,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100752
No title - Aucun titre,No summary - Aucun sommaire,119817-1991,1991,1991-1992,"Stuber, Jason",University of Alberta,Physics,Alberta,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Space science,Not available,No Co-Researcher,No Partners,100753,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100753
The simulation of atmospheric turbulence,No summary - Aucun sommaire,1674-1989,1989,1991-1992,"Stubley, Gordon",University of Waterloo,Mechanical Engineering,Ontario,19300.0,3-4,Discovery Grants Program - Individual,Mechanical Engineering,Fluid mechanics,Climate and atmosphere,No Co-Researcher,No Partners,100754,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100754
No title - Aucun titre,No summary - Aucun sommaire,91109-1990,1990,1991-1992,"Stubley, Peter",University of Waterloo,Electrical & Computer Engineering,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Electrical and electronic engineering,Not available,No Co-Researcher,No Partners,100755,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100755
Engineering aspects of interaction of electromagnetic fields with biological systems,No summary - Aucun sommaire,131745-1989,1989,1991-1992,"Stuchly, MariaAnna",University of Victoria,Electrical & Computer Eng.,British Columbia,15000.0,3-3,Discovery Grants Program - Individual,Electrical Engineering (H),Electromagnetics,Engineering,No Co-Researcher,No Partners,100756,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100756
Applications of electromagnetic waves,No summary - Aucun sommaire,127493-1989,1989,1991-1992,"Stuchly, Stanislaw",University of Victoria,Electrical & Computer Eng.,British Columbia,52000.0,3-3,Discovery Grants Program - Individual,Electrical Engineering (H),Electromagnetics,Engineering,No Co-Researcher,No Partners,100757,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100757
No title - Aucun titre,No summary - Aucun sommaire,94125-1990,1990,1991-1992,"Stuckless, John",University of Cambridge,Chemistry,Outside Canada,19408.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Maths/Phys Sc (H),Physical chemistry,Not available,No Co-Researcher,No Partners,100758,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100758
No title - Aucun titre,No summary - Aucun sommaire,120588-1991,1991,1991-1992,"Stuckless, John",University of Cambridge,Chemistry,Outside Canada,9592.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Maths/Phys Sc (H),Physical chemistry,Not available,No Co-Researcher,No Partners,100759,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100759
Catalysed proton/electron conducting materials for high performance fuel cell electrodes,No summary - Aucun sommaire,181439-1995,1995,1996-1997,"Pickup, Peter",Memorial University of Newfoundland,Chemistry,Newfoundland and Labrador,47650.0,2-3,Strategic Grants - Individual (H),Energy (H),Electrochemistry,Energy storage and conversion,No Co-Researcher,No Partners,10076,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10076
Multiprocessor operating system,No summary - Aucun sommaire,9222-1990,1990,1991-1992,"Stumm, Michael",University of Toronto,Electrical Engineering,Ontario,13530.0,2-2,Discovery Grants Program - Individual,Computing & Information Sci. (H),Computer systems organization,Computer software,No Co-Researcher,No Partners,100760,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100760
The function and evolution of colour patterns in birds,No summary - Aucun sommaire,107363-1991,1991,1991-1992,"Stutchbury, Bridget",York University,Biology,Ontario,25000.0,1-3,Women's Faculty Awards (H),Evolution & Ecology,Microbiology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100761,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100761
No title - Aucun titre,No summary - Aucun sommaire,121205-1991,1991,1991-1992,"Stutchbury, Bridget",York University,Biology,Ontario,17792.0,Not available,Women's Faculty Awards - Salary (H),URF & Women's Fac. Awards (H),Not available,Not available,No Co-Researcher,No Partners,100762,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100762
No title - Aucun titre,No summary - Aucun sommaire,119500-1991,1991,1991-1992,"Stuttaford, Kate",University of Guelph,Chemistry & Biochemistry,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Inorganic chemistry,Not available,No Co-Researcher,No Partners,100763,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100763
No title - Aucun titre,No summary - Aucun sommaire,111269-1991,1991,1991-1992,"Stuttard, Gavin",McMaster University,Mathematics & Statistics,Ontario,10381.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Pure mathematics,Not available,No Co-Researcher,No Partners,100764,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100764
No title - Aucun titre,No summary - Aucun sommaire,115308-1991,1991,1991-1992,"StVincent, Pierre",Université de Montréal,Inform. & rech opérationnelle,Québec,11112.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),"Artificial intelligence (computer vision, use2603)",Not available,No Co-Researcher,No Partners,100765,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100765
Computational and theoretical matrix methods for statistics,No summary - Aucun sommaire,7274-1990,1990,1991-1992,"Styan, George",McGill University,Mathematics & Statistics,Québec,12460.0,2-3,Discovery Grants Program - Individual,Statistical Sciences,Statistics and probability,Animal production and animal primary products,No Co-Researcher,No Partners,100766,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100766
No title - Aucun titre,No summary - Aucun sommaire,120498-1991,1991,1991-1992,"Su, Hongsheng",IBEX Technologies Inc.,Laboratories,Québec,12500.0,Not available,Industrial Research Fellowships,Schol/Fellow: Life Sciences (H),Microbiology,Not available,No Co-Researcher,No Partners,100767,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100767
Control of energy metabolism in muscle: a comparative approach,No summary - Aucun sommaire,92518-1990,1990,1991-1992,"Suarez, Raul",Simon Fraser University,Biological Sciences,British Columbia,20000.0,2-2,Discovery Grants Program - Individual,Animal Biology (H),Animal biology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100768,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100768
Studies in arithmetic functions and partition problems,No summary - Aucun sommaire,3103-1991,1991,1991-1992,"Subbarao, Mathukumalli",University of Alberta,Mathematics,Alberta,8000.0,1-3,Discovery Grants Program - Individual,Pure & Applied Mathematics (H),Number theory,Mathematical sciences,No Co-Researcher,No Partners,100769,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100769
The evolution of avian reproductive strategies,No summary - Aucun sommaire,8106-1996,1996,1996-1997,"Picman, Jaroslav",University of Ottawa,Biology,Ontario,10000.0,1-4,Discovery Grants Program - Individual,Evolution & Ecology,Behaviour,Life sciences (including biotechnology),No Co-Researcher,No Partners,10077,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10077
Acquisition and social transmission of stimulus recognition,No summary - Aucun sommaire,7059-1990,1990,1991-1992,"Suboski, Milton",Queen's University,Psychology,Ontario,17820.0,2-3,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Psychology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100770,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100770
No title - Aucun titre,No summary - Aucun sommaire,116898-1991,1991,1991-1992,"Subramanian, Krishnan",Pulp and Paper Research Institute of Canada,Head Office,Québec,3120.0,Not available,Experience Awards (previously Industrial Undergraduate Student Research Awards),Scholarships & Fellowships,Other studies in natural sciences and engineering,Not available,No Co-Researcher,No Partners,100771,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100771
No title - Aucun titre,No summary - Aucun sommaire,36240-1986,1986,1991-1992,"Sudicky, Edward",University of Waterloo,Earth Sciences,Ontario,30500.0,Not available,University Research Fellowships (H),Univ. Res. Fellowships (H),Not available,Not available,No Co-Researcher,No Partners,100772,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100772
Dissolved and immiscible contaminant behaviour in heterogeneous porous and fractured-porous media,No summary - Aucun sommaire,109542-1991,1991,1991-1992,"Sudicky, Edward",University of Waterloo,Earth Sciences,Ontario,38333.0,1-3,Discovery Grants Program - Individual,Environmental Earth Sciences,Hydrology,Modelling and mathematical simulation of natural processes,No Co-Researcher,No Partners,100773,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100773
No title - Aucun titre,No summary - Aucun sommaire,117521-1991,1991,1991-1992,"Sue, Evelyn",Biomedical Research Centre,Head Office,British Columbia,3200.0,Not available,Experience Awards (previously Industrial Undergraduate Student Research Awards),Scholarships & Fellowships,Other studies in natural sciences and engineering,Not available,No Co-Researcher,No Partners,100774,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100774
No title - Aucun titre,No summary - Aucun sommaire,111334-1991,1991,1991-1992,"Suek, Kerry",University of Toronto,Physics,Ontario,10981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Optics (see also photon devices2505),Not available,No Co-Researcher,No Partners,100775,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100775
"Computer recognition of characters and digitized patterns, and applications",No summary - Aucun sommaire,8989-1991,1991,1991-1992,"Suen, Ching",Concordia University,Computer Science,Québec,63000.0,1-3,Discovery Grants Program - Individual,Computing & Information Sci. (H),Other computing methods,Computer software,No Co-Researcher,No Partners,100776,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100776
Prototyping a multiple-expert OCR machine,No summary - Aucun sommaire,44946-1989,1989,1991-1992,"Suen, Ching",Concordia University,Computer Science,Québec,118918.0,3-3,Strategic Projects - Group,Information Systems (H),Other computing methods,Computer software,"Jayakumar, RajagopalanKrzyzak, AdamLi, Hon",No Partners,100777,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100777
No title - Aucun titre,No summary - Aucun sommaire,113579-1991,1991,1991-1992,"Sugar, David",University of Waterloo,Computer Science,Ontario,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),"Artificial intelligence (computer vision, use2603)",Not available,No Co-Researcher,No Partners,100778,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100778
No title - Aucun titre,No summary - Aucun sommaire,119573-1991,1991,1991-1992,"Sugar, David",McMaster University,Mathematics & Statistics,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Pure mathematics,Not available,No Co-Researcher,No Partners,100779,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100779
Applications of transport phenomena,No summary - Aucun sommaire,121844-1996,1996,1996-1997,"Picot, Jules",University of New Brunswick,Chemical Engineering,New Brunswick,21560.0,1-4,Discovery Grants Program - Individual,Chem. & Metallurgical Eng.,Rheology and processing,"Polymers, rubber and plastics",No Co-Researcher,No Partners,10078,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10078
No title - Aucun titre,No summary - Aucun sommaire,118873-1991,1991,1991-1992,"Sui, ShiFeng",University of Victoria,Chemistry,British Columbia,3955.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Inorganic chemistry,Not available,No Co-Researcher,No Partners,100780,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100780
Statistical methods in epidemiology,No summary - Aucun sommaire,8750-1991,1991,1991-1992,"Suissa, Samy",McGill University,Epidemiology & Biostatistics,Québec,6120.0,1-3,Discovery Grants Program - Individual,Statistical Sciences,Biostatistics,Human pharmaceuticals,No Co-Researcher,No Partners,100781,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100781
No title - Aucun titre,No summary - Aucun sommaire,93799-1990,1990,1991-1992,"Sukhdeo, Suzanne",Rutgers University,Biological Sciences,New Jersey,9704.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Life Sciences (H),Animal biology,Not available,No Co-Researcher,No Partners,100782,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100782
Analysis of zoogeography and life history patterns for deep-living Atlantic bottomfishes,No summary - Aucun sommaire,3164-1989,1989,1991-1992,"Sulak, Kenneth",Huntsman Marine Science Centre,Atlantic Reference Centre,New Brunswick,16500.0,3-3,Discovery Grants Program - Individual,Evolution & Ecology,Aquatic ecology and limnology,"Oceans, seas and estuaries",No Co-Researcher,No Partners,100783,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100783
Mathematical and numerical study of nonlinear partial differential equations arising in hydrodynamics,No summary - Aucun sommaire,46179-1990,1990,1991-1992,"Sulem, Catherine",University of Toronto,Mathematics,Ontario,16000.0,2-3,Discovery Grants Program - Individual,Pure & Applied Mathematics (H),Asymptotics and applied classical analysis,Mathematical sciences,No Co-Researcher,No Partners,100784,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100784
No title - Aucun titre,No summary - Aucun sommaire,118317-1991,1991,1991-1992,"Suljak, John",The University of Western Ontario,Microbiology & Immunology,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Cell biology,Not available,No Co-Researcher,No Partners,100785,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100785
No title - Aucun titre,No summary - Aucun sommaire,113208-1991,1991,1991-1992,"Sullivan, Allan",University of Alberta,Computing Science,Alberta,10771.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Software and development,Not available,No Co-Researcher,No Partners,100786,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100786
No title - Aucun titre,No summary - Aucun sommaire,133042-1991,1991,1991-1992,"Sullivan, David",Atomic Energy of Canada Ltd,Whiteshell Nuclear Research Est.,Ontario,3200.0,Not available,Experience Awards (previously Industrial Undergraduate Student Research Awards),Schol/Fellow: Maths/Phys Sc (H),Geochemistry and geochronology,Not available,No Co-Researcher,No Partners,100787,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100787
Theory of phase transitions and interfacial phenomena in complex liquids,No summary - Aucun sommaire,3445-1991,1991,1991-1992,"Sullivan, Donald",University of Guelph,Physics,Ontario,30000.0,1-3,Discovery Grants Program - Individual,Condensed Matter Physics,Statistical mechanics and thermodynamics,Physical sciences,No Co-Researcher,No Partners,100788,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100788
Model based process control and production scheduling system,No summary - Aucun sommaire,5080-1989,1989,1991-1992,"Sullivan, Gerald",University of Waterloo,Chemical Engineering,Ontario,18500.0,3-3,Discovery Grants Program - Individual,Industrial Engineering,Chemical engineering,Not available,No Co-Researcher,No Partners,100789,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100789
Mechanisms of memory,No summary - Aucun sommaire,170080-1995,1995,1996-1997,"Picton, Terence",University of Toronto,Psychology,Ontario,16000.0,2-4,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Cognitive science -- fundamental,Psychology,No Co-Researcher,No Partners,10079,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10079
Window thermal performance evaluation,No summary - Aucun sommaire,7127-1990,1990,1991-1992,"Sullivan, Henry",University of Waterloo,Mechanical Engineering,Ontario,25000.0,2-3,Discovery Grants Program - Individual,Mechanical Engineering,Heat transfer,Energy efficiency,No Co-Researcher,No Partners,100790,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100790
No title - Aucun titre,No summary - Aucun sommaire,91012-1990,1990,1991-1992,"Sullivan, Maureen",McGill University,Psychology,Québec,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Psychology,Not available,No Co-Researcher,No Partners,100791,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100791
Investigations in hypersonic flow and air cushion technology,No summary - Aucun sommaire,3378-1991,1991,1991-1992,"Sullivan, Philip",University of Toronto,Aerospace Studies (Institute),Ontario,22000.0,1-3,Discovery Grants Program - Individual,Mechanical Engineering,"Aerospace, aeronautical and automotive engineering",Aerospace,No Co-Researcher,No Partners,100792,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100792
Turbulent diffusion,No summary - Aucun sommaire,7527-1990,1990,1991-1992,"Sullivan, Paul",The University of Western Ontario,Applied Mathematics,Ontario,24000.0,2-3,Discovery Grants Program - Individual,Mechanical Engineering,Transport processes,"Pollutants and toxic agents (waste, use 902)",No Co-Researcher,No Partners,100793,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100793
No title - Aucun titre,No summary - Aucun sommaire,119456-1991,1991,1991-1992,"Sullivan, Shelley",Memorial University of Newfoundland,Biochemistry,Newfoundland and Labrador,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Biochemistry,Not available,No Co-Researcher,No Partners,100794,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100794
No title - Aucun titre,No summary - Aucun sommaire,109453-1990,1990,1991-1992,"Sullivan, SeanPatrick",Atomic Energy of Canada Ltd,Training and Development,Ontario,5577.0,Not available,Industrial Research Fellowships,Schol/Fellow: Maths/Phys Sc (H),Remote sensing,Not available,No Co-Researcher,No Partners,100795,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100795
Mustelid semiochemicals to protect forest plantations from voles,No summary - Aucun sommaire,112400-1991,1991,1991-1992,"Sullivan, Thomas",The University of British Columbia,Forest Sciences,British Columbia,13884.0,1-2,Collaborative Research and Development Grants - Government (H),University/Industry,Plant and tree biology,"Forestry (silviculture, forest management)",No Co-Researcher,Canadian Forest ServiceHouston Forest Products Co.Northwood Pulp & Timber LtdPhero Tech Inc.,100796,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100796
Responses of small mammals to large-scale food supplementation,No summary - Aucun sommaire,105484-1991,1991,1991-1992,"Sullivan, Thomas",The University of British Columbia,Forest Sciences,British Columbia,26000.0,1-3,Discovery Grants Program - Individual,Evolution & Ecology,Terrestrial ecology,Wildlife management,No Co-Researcher,No Partners,100797,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100797
No title - Aucun titre,No summary - Aucun sommaire,97500-1990,1990,1991-1992,"Sum, Stephen",Carleton University,Computer Science (School),Ontario,5019.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Other computing methods,Not available,No Co-Researcher,No Partners,100798,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100798
No title - Aucun titre,No summary - Aucun sommaire,109078-1991,1991,1991-1992,"Sum, Stephen",Carleton University,Computer Science (School),Ontario,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Other computing methods,Not available,No Co-Researcher,No Partners,100799,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100799
No title - Aucun titre,No summary - Aucun sommaire,194772-1996,1996,1996-1997,"Bergstrom, Jan",The University of British Columbia,Electrical Engineering,British Columbia,10380.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Control systems,Not available,No Co-Researcher,No Partners,1008,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=1008
Paleoecology and biogeography of diatoms and invertebrates in northern Quebec,No summary - Aucun sommaire,170043-1995,1995,1996-1997,"Pienitz, Reinhard",Université Laval,"Études nordiques, centre d'",Québec,13900.0,2-4,Discovery Grants Program - Individual,Environmental Earth Sciences,"Paleontology, paleobiology","Land, solid earth, seabeds and ocean floors",No Co-Researcher,No Partners,10080,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10080
No title - Aucun titre,No summary - Aucun sommaire,100228-1990,1990,1991-1992,"Summer, Wolfgang",Institut national de la recherche scientifique,INRS - Eau,Québec,16425.0,Not available,Canada International Fellowships (H),Schol/Fellow: Maths/Phys Sc (H),Environmental engineering,Not available,No Co-Researcher,No Partners,100800,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100800
Relaxin and blood pressure in pregnancy,No summary - Aucun sommaire,37810-1991,1991,1991-1992,"Summerlee, Alastair",University of Guelph,Biomedical Sciences,Ontario,30616.0,1-3,Discovery Grants Program - Individual,Animal Physiology (H),Endocrinology,Agriculture and primary food production,No Co-Researcher,No Partners,100801,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100801
Studies in theoretical space physics,No summary - Aucun sommaire,621-1990,1990,1991-1992,"Summers, Danny",Memorial University of Newfoundland,Mathematics & Statistics,Newfoundland and Labrador,29000.0,2-3,Discovery Grants Program - Individual,Space & Astronomy,Astronomy and astrophysics,Space and astronomy,No Co-Researcher,No Partners,100802,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100802
